,Income,LotSize,Ownership ,mowerid,DEA,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10
0,85.5,16.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,64.8,21.6,1,2,0.9464404524284763,0.2994011976047902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7005988023952098,0.0
2,61.5,20.8,1,3,0.9872758820127242,0.28166570271833447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7183342972816655,0.0
3,87.0,23.6,1,4,0.8086215063950735,0.5608716248223591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439128375177641,0.0
4,110.1,19.2,1,5,0.8750000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,108.0,17.6,1,6,0.9545454545454545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,82.8,22.4,1,7,0.8511168727562824,0.5644196250498605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4355803749501395,0.0
7,69.0,20.0,1,8,0.9765446224256291,0.47482837528604116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251716247139588,0.0
8,93.0,20.8,1,9,0.8526473526473527,0.82017982017982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17982017982017992,0.0
9,51.0,22.0,1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,81.0,20.0,1,11,0.92170626349892,0.685745140388769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314254859611231,0.0
